SP,SPEC,CONF,COMMONNAME,SCINAME,SPEC6,CONF6,LANDBIRD
,HITI,,Highland Tinamou,Nothocercus bonapartei,NOTBON,,TRUE
,GRTI,,Great Tinamou,Tinamus major,TINMAJ,,TRUE
,LITI,,Little Tinamou,Crypturellus soui,CRYSOU,,TRUE
,THTI,,Thicket Tinamou,Crypturellus cinnamomeus,CRYCIN,,TRUE
,SBTI,,Slaty-breasted Tinamou,Crypturellus boucardi,CRYBOU,,TRUE
,CHTI,,Choco Tinamou,Crypturellus kerriae,CRYKER,,TRUE
,WFWD,,White-faced Whistling-Duck,Dendrocygna viduata,DENVID,,FALSE
,BBWD,,Black-bellied Whistling-Duck,Dendrocygna autumnalis,DENAUT,,FALSE
,WIWD,,West Indian Whistling-Duck,Dendrocygna arborea,DENARB,,FALSE
,FUWD,,Fulvous Whistling-Duck,Dendrocygna bicolor,DENBIC,,FALSE
,EMGO,,Emperor Goose,Anser canagicus,ANSCAN,,FALSE
,SNGO,,Snow Goose,Anser caerulescens,ANSCAE,,FALSE
+,LSGW,,Lesser Snow Goose White-morph,Anser caerulescens caerulescens,ANSCCA,,FALSE
+,LSGI,,Lesser Snow Goose Intermediate-morph,Anser caerulescens caerulescens,ANSCCA,,FALSE
+,LSGB,,Lesser Snow Goose Blue-morph,Anser caerulescens caerulescens,ANSCCA,,FALSE
+,GSGW,,Greater Snow Goose White-morph,Anser caerulescens atlantica,ANSCAT,,FALSE
+,GSGI,,Greater Snow Goose Intermediate-morph,Anser caerulescens atlantica,ANSCAT,,FALSE
+,GSGB,,Greater Snow Goose Blue-morph,Anser caerulescens atlantica,ANSCAT,,FALSE
+,SRGH,,Snow X Ross's Goose Hybrid,Anser caerulescens x rossii,ANSCAR,,FALSE
+,SRGO,,Snow/Ross's Goose,Anser caerulescens/rossii,ANSCRO,,FALSE
,ROGO,,Ross's Goose,Anser rossii,ANSROS,,FALSE
,GRGO,,Graylag Goose,Anser anser,ANSANS,,FALSE
,GWFG,,Greater White-fronted Goose,Anser albifrons,ANSALB,,FALSE
,LWFG,,Lesser White-fronted Goose,Anser erythropus,ANSERY,,FALSE
,TABG,,Taiga Bean-Goose,Anser fabalis,ANSFAB,,FALSE
,TUBG,,Tundra Bean-Goose,Anser serrirostris,ANSSER,,FALSE
,PFGO,,Pink-footed Goose,Anser brachyrhynchus,ANSBRA,,FALSE
,BRAN,,Brant,Branta bernicla,BRABER,,FALSE
+,ATBR,,Atlantic Brant,Branta bernicula bernicla,BRABBE,,FALSE
+,BRIN,,Brant Intergrade,Branta bernicula bernicula x nigrican,BRABBN,,FALSE
+,BLBR,,Black Brant,Branta bernicula nigricans,BRABNI,,FALSE
,BARG,*,Barnacle Goose,Branta leucopsis,BRALEU,,FALSE
,CACG,*,Cackling Goose,Branta hutchinsii,BRAHUT,,FALSE
+,ACGO,,Aleutian Cackling Goose,Branta hutchinsii leucopareia,BRAHLE,,FALSE
+,MCGO,,Minima Cackling Goose,Branta  hutchinsii minima,BRAHMI,,FALSE
+,CCGO,,Cackling/Canada Goose,Branta  hutchinsii/canadensis,BRAHUC,,FALSE
,CANG,*,Canada Goose,Branta canadensis,BRACAN,,FALSE
+,LCGO,,Large Canada Goose,Branta canadensis moffitti,BRACMO,,FALSE
+,SCGO,,Small Canada Goose,Branta canadensis parvipes,BRACPA,,FALSE
,HAGO,,Hawaiian Goose,Branta sandvicensis,BRASAN,,FALSE
+,UNGO,,Unidentified Goose,Anserinae (gen. sp.),ANSGSP,,FALSE
,MUSW,,Mute Swan,Cygnus olor,CYGOLO,,FALSE
,TRUS,*,Trumpeter Swan,Cygnus buccinator,CYGBUC,,FALSE
,TUSW,,Tundra Swan,Cygnus columbianus,CYGCOL,,FALSE
+,WHSW,,Whistling Swan,Cygnus columbianus columbianus,CYGCCO,,FALSE
+,BESW,,Bewick's Swan,Cygnus columbianus bewickii,CYGCBE,,FALSE
,WHOS,*,Whooper Swan,Cygnus cygnus,CYGCYG,,FALSE
,CODU,,Comb Duck,Sarkidiornis sylvicola,SARSYL,,FALSE
,ORGO,,Orinoco Goose,Neochen jubata,NEOJUB,,FALSE
,EGGO,,Egyptian Goose,Alopochen aegyptiaca,ALOAEG,,FALSE
,COMS,*,Common Shelduck,Tadorna tadorna,TADTAD,,FALSE
,RUSH,,Ruddy Shelduck,Tadorna ferruginea,TADFER,,FALSE
,MUDU,,Muscovy Duck,Cairina moschata,CAIMOS,,FALSE
,WODU,,Wood Duck,Aix sponsa,AIXSPO,,FALSE
,BATE,,Baikal Teal,Sibirionetta formosa,SIBFOR,,FALSE
,GARG,,Garganey,Spatula querquedula,SPAQUE,,FALSE
,BWTE,,Blue-winged Teal,Spatula discors,SPADIS,,FALSE
+,BCTE,,Blue-winged/Cinnamon Teal,Spatula discors/cyanoptera,SPADIC,,FALSE
,CITE,,Cinnamon Teal,Spatula cyanoptera,SPACYA,,FALSE
,NSHO,*,Northern Shoveler,Spatula clypeata,SPACLY,,FALSE
,GADW,,Gadwall,Mareca strepera,MARSTR,,FALSE
,FADU,,Falcated Duck,Mareca falcata,MARFAL,,FALSE
,EUWI,,Eurasian Wigeon,Mareca penelope,MARPEN,,FALSE
,AMWI,,American Wigeon,Mareca americana,MARAME,,FALSE
,LAYD,*,Laysan Duck,Anas laysanensis,ANALAY,,FALSE
,HAWD,*,Hawaiian Duck,Anas wyvilliana,ANAWYV,,FALSE
,ESBD,,Eastern Spot-billed Duck,Anas zonorhyncha,ANAZON,,FALSE
,MALL,,Mallard,Anas platyrhynchos,ANAPLA,,FALSE
,MEDU,,Mexican Duck,Anas diazi,ANADIA,,FALSE
+,ABMH,*,American Black Duck X Mallard Hybrid,Anas rubripes x platyrhynchos,ANARUP,,FALSE
,ABDU,,American Black Duck,Anas rubripes,ANARUB,,FALSE
,MODU,,Mottled Duck,Anas fulvigula,ANAFUL,,FALSE
,WCHP,*,White-cheeked Pintail,Anas bahamensis,ANABAH,,FALSE
,NOPI,,Northern Pintail,Anas acuta,ANAACU,,FALSE
,GWTE,,Green-winged Teal,Anas crecca,ANACRE,,FALSE
+,AGWT,,American Green-winged Teal,Anas crecca carolinensis,ANACCA,,FALSE
+,EGWT,,Eurasian Green-winged Teal,Anas crecca crecca,ANACCR,,FALSE
,CANV,,Canvasback,Aythya valisineria,AYTVAL,,FALSE
,REDH,,Redhead,Aythya americana,AYTAME,,FALSE
,COMP,*,Common Pochard,Aythya ferina,AYTFER,,FALSE
,RNDU,,Ring-necked Duck,Aythya collaris,AYTCOL,,FALSE
,TUDU,,Tufted Duck,Aythya fuligula,AYTFUL,,FALSE
,GRSC,,Greater Scaup,Aythya marila,AYTMAR,,FALSE
,LESC,,Lesser Scaup,Aythya affinis,AYTAFF,,FALSE
,STEI,,Steller's Eider,Polysticta stelleri,POLSTE,,FALSE
,SPEI,,Spectacled Eider,Somateria fischeri,SOMFIS,,FALSE
,KIEI,,King Eider,Somateria spectabilis,SOMSPE,,FALSE
,COEI,,Common Eider,Somateria mollissima,SOMMOL,,FALSE
,HADU,,Harlequin Duck,Histrionicus histrionicus,HISHIS,,FALSE
,LABD,*,Labrador Duck,Camptorhynchus labradorius,CAMLAB,,FALSE
,SUSC,,Surf Scoter,Melanitta perspicillata,MELPER,,FALSE
,VESC,,Velvet Scoter,Melanitta fusca,MENFUS,*,FALSE
,WWSC,,White-winged Scoter,Melanitta deglandi,MELDEG,,FALSE
,STSC,,Stejneger's Scoter,Melanitta stejnegeri,MELSTE,,FALSE
,COSC,,Common Scoter,Melanitta nigra,MENNIG,,FALSE
,BLSC,,Black Scoter,Melanitta americana,MELAME,,FALSE
,LTDU,,Long-tailed Duck,Clangula hyemalis,CLAHYE,,FALSE
,BUFF,,Bufflehead,Bucephala albeola,BUCALB,,FALSE
,COGO,,Common Goldeneye,Bucephala clangula,BUCCLA,,FALSE
,BAGO,,Barrow's Goldeneye,Bucephala islandica,BUCISL,,FALSE
,SMEW,,Smew,Mergellus albellus,MERALB,,FALSE
,HOME,,Hooded Merganser,Lophodytes cucullatus,LOPCUC,,FALSE
,COME,,Common Merganser,Mergus merganser,MERMER,,FALSE
,RBME,,Red-breasted Merganser,Mergus serrator,MERSER,,FALSE
,MADU,,Masked Duck,Nomonyx dominicus,NOMDOM,,FALSE
,RUDU,,Ruddy Duck,Oxyura jamaicensis,OXYJAM,,FALSE
+,UNDU,,Unidentified Duck,"Anatinae (gen, sp)",ANAGSP,,FALSE
,PLCH,,Plain Chachalaca,Ortalis vetula,ORTVET,,TRUE
,GHEC,*,Gray-headed Chachalaca,Ortalis cinereiceps,ORTCIN,,TRUE
,RVCH,,Rufous-vented Chachalaca,Ortalis ruficauda,ORTRUF,,TRUE
,RBEC,*,Rufous-bellied Chachalaca,Ortalis wagleri,ORTWAG,,TRUE
,WMCH,,West Mexican Chachalaca,Ortalis poliocephala,ORTPOL,,TRUE
,WBCH,,White-bellied Chachalaca,Ortalis leucogastra,ORTLEU,,TRUE
,CRGU,,Crested Guan,Penelope purpurascens,PENPUR,,TRUE
,BLAG,*,Black Guan,Chamaepetes unicolor,CHAUNI,,TRUE
,HIGU,,Highland Guan,Penelopina nigra,PENNIG,,TRUE
,HOGU,,Horned Guan,Oreophasis derbianus,OREDER,,TRUE
,GRCU,,Great Curassow,Crax rubra,CRARUB,,TRUE
,HELG,*,Helmeted Guineafowl,Numida meleagris,NUMMEL,,TRUE
,TFQU,,Tawny-faced Quail,Rhynchortyx cinctus,RHYCIN,,TRUE
,MOUQ,*,Mountain Quail,Oreortyx pictus,OREPIC,,TRUE
,BCWP,,Buffy-crowned Wood-Partridge,Dendrortyx leucophrys,DENLEU,,TRUE
,LTWP,,Long-tailed Wood-Partridge,Dendrortyx macroura,DENMAC,,TRUE
,BEWP,,Bearded Wood-Partridge,Dendrortyx barbatus,DENBAR,,TRUE
,BAQU,,Banded Quail,Philortyx fasciatus,PHIFAS,,TRUE
,NOBO,,Northern Bobwhite,Colinus virginianus,COLVIR,,TRUE
,BTBO,,Black-throated Bobwhite,Colinus nigrogularis,COLNIG,,TRUE
,CRBO,,Crested Bobwhite,Colinus cristatus,COLCRI,,TRUE
,SCQU,,Scaled Quail,Callipepla squamata,CALSQU,,TRUE
,ELQU,,Elegant Quail,Callipepla douglasii,CALDOU,,TRUE
,CAQU,,California Quail,Callipepla californica,CALCAF,*,TRUE
,GAQU,,Gambel's Quail,Callipepla gambelii,CALGAM,,TRUE
,MONQ,*,Montezuma Quail,Cyrtonyx montezumae,CYRMON,,TRUE
,OCQU,,Ocellated Quail,Cyrtonyx ocellatus,CYROCE,,TRUE
,SIQU,,Singing Quail,Dactylortyx thoracicus,DACTHO,,TRUE
,MAWQ,,Marbled Wood-Quail,Odontophorus gujanensis,ODOGUJ,,TRUE
,BEWQ,,Black-eared Wood-Quail,Odontophorus melanotis,ODOMEL,,TRUE
,TAWQ,,Tacarcuna Wood-Quail,Odontophorus dialeucos,ODODIA,,TRUE
,BBWQ,,Black-breasted Wood-Quail,Odontophorus leucolaemus,ODOLEU,,TRUE
,SPWQ,,Spotted Wood-Quail,Odontophorus guttatus,ODOGUT,,TRUE
,WITU,,Wild Turkey,Meleagris gallopavo,MELGAL,,TRUE
,OCTU,,Ocellated Turkey,Meleagris ocellata,MELOCE,,TRUE
,RUGR,,Ruffed Grouse,Bonasa umbellus,BONUMB,,TRUE
,SPGR,,Spruce Grouse,Falcipennis canadensis,FALCAN,,TRUE
,WIPT,,Willow Ptarmigan,Lagopus lagopus,LAGLAG,,TRUE
,ROPT,,Rock Ptarmigan,Lagopus muta,LAGMUT,,TRUE
,WTPT,,White-tailed Ptarmigan,Lagopus leucura,LAGLEU,,TRUE
,GRSG,,Greater Sage-Grouse,Centrocercus urophasianus,CENURO,,TRUE
,GUSG,,Gunnison Sage-Grouse,Centrocercus minimus,CENMIN,,TRUE
,DUGR,,Dusky Grouse,Dendragapus obscurus,DENOBS,,TRUE
,SOGR,,Sooty Grouse,Dendragapus fuliginosus,DENFUU,*,TRUE
,STGR,,Sharp-tailed Grouse,Tympanuchus phasianellus,TYMPHA,,TRUE
,GRPC,,Greater Prairie-Chicken,Tympanuchus cupido,TYMCUP,,TRUE
,LEPC,,Lesser Prairie-Chicken,Tympanuchus pallidicinctus,TYMPAL,,TRUE
,GRAP,*,Gray Partridge,Perdix perdix,PERPER,,TRUE
,RNEP,*,Ring-necked Pheasant,Phasianus colchicus,PHACOL,,TRUE
,KAPH,,Kalij Pheasant,Lophura leucomelanos,LOPLEU,,TRUE
,INPE,,Indian Peafowl,Pavo cristatus,PAVCRI,,TRUE
,GRAF,*,Gray Francolin,Francolinus pondicerianus,FRAPON,,TRUE
,BLFR,,Black Francolin,Francolinus francolinus,FRAFRA,,TRUE
,REJU,,Red Junglefowl,Gallus gallus,GALGAS,*,TRUE
,HISN,,Himalayan Snowcock,Tetraogallus himalayensis,TETHIM,,TRUE
,CHUK,,Chukar,Alectoris chukar,ALECHU,,TRUE
,JAQU,,Japanese Quail,Coturnix japonica,COTJAP,,TRUE
,ERFR,,Erckel's Francolin,Pternistis erckelii,PTEERC,,TRUE
,AMFL,,American Flamingo,Phoenicopterus ruber,PHORUB,,FALSE
,LEGR,,Least Grebe,Tachybaptus dominicus,TACDOM,,FALSE
,PBGR,,Pied-billed Grebe,Podilymbus podiceps,PODPOD,,FALSE
,ATGR,,Atitlan Grebe,Podilymbus gigas,PODGIG,,FALSE
,HOGR,,Horned Grebe,Podiceps auritus,PODAUR,,FALSE
,RNGR,,Red-necked Grebe,Podiceps grisegena,PODGRI,,FALSE
,EAGR,,Eared Grebe,Podiceps nigricollis,PODNIG,,FALSE
,WEGR,,Western Grebe,Aechmophorus occidentalis,AECOCC,,FALSE
,CLGR,,Clark's Grebe,Aechmophorus clarkii,AECCLA,,FALSE
,CBSA,,Chestnut-bellied Sandgrouse,Pterocles exustus,PTEEXU,,TRUE
,ROPI,,Rock Pigeon,Columba livia,COLLIV,,TRUE
,PVPI,,Pale-vented Pigeon,Patagioenas cayennensis,PATCAY,,TRUE
,SCPI,,Scaled Pigeon,Patagioenas speciosa,PATSPE,,TRUE
,SNPI,,Scaly-naped Pigeon,Patagioenas squamosa,PATSQU,,TRUE
,WCPI,,White-crowned Pigeon,Patagioenas leucocephala,PATLEU,,TRUE
,RBPI,,Red-billed Pigeon,Patagioenas flavirostris,PATFLA,,TRUE
,PLAP,*,Plain Pigeon,Patagioenas inornata,PATINO,,TRUE
,BTPI,,Band-tailed Pigeon,Patagioenas fasciata,PATFAS,,TRUE
,RTAP,*,Ring-tailed Pigeon,Patagioenas caribaea,PATCAR,,TRUE
,PLUP,*,Plumbeous Pigeon,Patagioenas plumbea,PATPLU,,TRUE
,RUDP,*,Ruddy Pigeon,Patagioenas subvinacea,PATSUB,,TRUE
,SBPI,,Short-billed Pigeon,Patagioenas nigrirostris,PATNIG,,TRUE
,DUPI,,Dusky Pigeon,Patagioenas goodsoni,PATGOO,,TRUE
,ORTD,,Oriental Turtle-Dove,Streptopelia orientalis,STRORI,,TRUE
,AFCD,,African Collared-Dove,Streptopelia roseogrisea,STRROS,,TRUE
,EUTD,,European Turtle-Dove,Streptopelia turtur,STRTUR,,TRUE
,EUCD,,Eurasian Collared-Dove,Streptopelia decaocto,STRDEC,,TRUE
,SPDO,,Spotted Dove,Streptopelia chinensis,STRCHI,,TRUE
,ZEBD,*,Zebra Dove,Geopelia striata,GEOSTR,,TRUE
,PAPI,,Passenger Pigeon,Ectopistes migratorius,ECTMIG,,TRUE
,INDO,,Inca Dove,Columbina inca,COLINC,,TRUE
,CGDO,,Common Ground Dove,Columbina passerina,COLPAS,,TRUE
,PBGD,,Plain-breasted Ground Dove,Columbina minuta,COLMIN,,TRUE
,RGDO,,Ruddy Ground Dove,Columbina talpacoti,COLTAL,,TRUE
,BGDO,,Blue Ground Dove,Claravis pretiosa,CLAPRE,,TRUE
,MCGD,,Maroon-chested Ground Dove,Paraclaravis mondetoura,PARMOD,*,TRUE
,BHQD,,Blue-headed Quail-Dove,Starnoenas cyanocephala,STACYA,,TRUE
,CRQD,,Crested Quail-Dove,Geotrygon versicolor,GEOVER,,TRUE
,RUQD,,Ruddy Quail-Dove,Geotrygon montana,GEOMON,,TRUE
,VIQD,,Violaceous Quail-Dove,Geotrygon violacea,GEOVIO,,TRUE
,GFQD,,Gray-fronted Quail-Dove,Geotrygon caniceps,GEOCAN,,TRUE
,WFRQ,*,White-fronted Quail-Dove,Geotrygon leucometopia,GEOLEU,,TRUE
,KWQD,,Key West Quail-Dove,Geotrygon chrysia,GEOCHR,,TRUE
,BRQD,,Bridled Quail-Dove,Geotrygon mystacea,GEOMYS,,TRUE
,OBQD,,Olive-backed Quail-Dove,Leptotrygon veraguensis,LEPVEG,*,TRUE
,WTDO,,White-tipped Dove,Leptotila verreauxi,LEPVEX,*,TRUE
,CADO,,Caribbean Dove,Leptotila jamaicensis,LEPJAM,,TRUE
,GCDO,,Gray-chested Dove,Leptotila cassinii,LEPCAS,,TRUE
,GHDO,,Gray-headed Dove,Leptotila plumbeiceps,LEPPLU,,TRUE
,GRDO,,Grenada Dove,Leptotila wellsi,LEPWEL,,TRUE
,TUQD,,Tuxtla Quail-Dove,Zentrygon carrikeri,ZENCAR,,TRUE
,BFQD,,Buff-fronted Quail-Dove,Zentrygon costaricensis,ZENCOS,,TRUE
,PBQD,,Purplish-backed Quail-Dove,Zentrygon lawrencii,ZENLAW,,TRUE
,WFAQ,*,White-faced Quail-Dove,Zentrygon albifacies,ZENALB,,TRUE
,CHQD,,Chiriqui Quail-Dove,Zentrygon chiriquensis,ZENCHI,,TRUE
,RCQD,,Russet-crowned Quail-Dove,Zentrygon goldmani,ZENGOL,,TRUE
,WWDO,,White-winged Dove,Zenaida asiatica,ZENASI,,TRUE
,ZEND,*,Zenaida Dove,Zenaida aurita,ZENAUT,*,TRUE
,EADO,,Eared Dove,Zenaida auriculata,ZENAUC,*,TRUE
,MODO,,Mourning Dove,Zenaida macroura,ZENMAC,,TRUE
,SODO,,Socorro Dove,Zenaida graysoni,ZENGRA,,TRUE
,GRTA,*,Greater Ani,Crotophaga major,CROMAJ,,TRUE
,SBAN,,Smooth-billed Ani,Crotophaga ani,CROANI,,TRUE
,GBAN,,Groove-billed Ani,Crotophaga sulcirostris,CROSUL,,TRUE
,STCU,,Striped Cuckoo,Tapera naevia,TAPNAE,,TRUE
,PHCU,,Pheasant Cuckoo,Dromococcyx phasianellus,DROPHA,,TRUE
,LEGC,,Lesser Ground-Cuckoo,Morococcyx erythropygus,MORERY,,TRUE
,LERO,,Lesser Roadrunner,Geococcyx velox,GEOVEL,,TRUE
,GRRO,,Greater Roadrunner,Geococcyx californianus,GEOCAL,,TRUE
,RVGC,,Rufous-vented Ground-Cuckoo,Neomorphus geoffroyi,NEOGEO,,TRUE
,COCU,,Common Cuckoo,Cuculus canorus,CUCCAN,,TRUE
,ORCU,,Oriental Cuckoo,Cuculus optatus,CUCOPT,,TRUE
,LITC,*,Little Cuckoo,Coccycua minuta,COCMIT,*,TRUE
,DWCU,,Dwarf Cuckoo,Coccycua pumila,COCPUM,,TRUE
,SQCU,,Squirrel Cuckoo,Piaya cayana,PIACAY,,TRUE
,DBCU,,Dark-billed Cuckoo,Coccyzus melacoryphus,COCMEL,,TRUE
,YBCU,,Yellow-billed Cuckoo,Coccyzus americanus,COCAME,,TRUE
,PBCU,,Pearly-breasted Cuckoo,Coccyzus euleri,COCEUL,,TRUE
,MACU,,Mangrove Cuckoo,Coccyzus minor,COCMIR,*,TRUE
,COCC,*,Cocos Cuckoo,Coccyzus ferrugineus,COCFER,,TRUE
,BBCU,,Black-billed Cuckoo,Coccyzus erythropthalmus,COCERY,,TRUE
,GCCU,,Gray-capped Cuckoo,Coccyzus lansbergi,COCLAN,,TRUE
,CBCU,,Chestnut-bellied Cuckoo,Coccyzus pluvialis,COCPLU,,TRUE
,BBRC,*,Bay-breasted Cuckoo,Coccyzus rufigularis,COCRUF,,TRUE
,JALC,,Jamaican Lizard-Cuckoo,Coccyzus vetula,COCVET,,TRUE
,PRLC,,Puerto Rican Lizard-Cuckoo,Coccyzus vieilloti,COCVIE,,TRUE
,GRLC,,Great Lizard-Cuckoo,Coccyzus merlini,COCMER,,TRUE
,HILC,,Hispaniolan Lizard-Cuckoo,Coccyzus longirostris,COCLON,,TRUE
,SHTN,*,Short-tailed Nighthawk,Lurocalis semitorquatus,LURSEM,,TRUE
,LENI,,Lesser Nighthawk,Chordeiles acutipennis,CHOACU,,TRUE
,CONI,,Common Nighthawk,Chordeiles minor,CHOMIN,,TRUE
,ANNI,,Antillean Nighthawk,Chordeiles gundlachii,CHOGUN,,TRUE
,COPA,,Common Pauraque,Nyctidromus albicollis,NYCALB,,TRUE
,COPO,,Common Poorwill,Phalaenoptilus nuttallii,PHANUT,,TRUE
,JAPA,,Jamaican Pauraque,Siphonorhis americana,SIPAME,,TRUE
,LEPA,,Least Pauraque,Siphonorhis brewsteri,SIPBRE,,TRUE
,EAPO,,Eared Poorwill,Nyctiphrynus mcleodii,NYCMCL,,TRUE
,YUPO,,Yucatan Poorwill,Nyctiphrynus yucatanicus,NYCYUC,,TRUE
,OCPO,,Ocellated Poorwill,Nyctiphrynus ocellatus,NYCOCE,,TRUE
,CWWI,,Chuck-will's-widow,Antrostomus carolinensis,ANTCAR,,TRUE
,RUNI,,Rufous Nightjar,Antrostomus rufus,ANTRUF,,TRUE
,GANI,,Greater Antillean Nightjar,Antrostomus cubanensis,ANTCUB,,TRUE
,TCNI,,Tawny-collared Nightjar,Antrostomus salvini,ANTSAL,,TRUE
,YUNI,,Yucatan Nightjar,Antrostomus badius,ANTBAD,,TRUE
,BCNI,,Buff-collared Nightjar,Antrostomus ridgwayi,ANTRID,,TRUE
,EWPW,,Eastern Whip-poor-will,Antrostomus vociferus,ANTVOC,,TRUE
,DUNI,,Dusky Nightjar,Antrostomus saturatus,ANTSAT,,TRUE
,MWPW,,Mexican Whip-poor-will,Antrostomus arizonae,ANTARI,,TRUE
,PRNI,,Puerto Rican Nightjar,Antrostomus noctitherus,ANTNOC,,TRUE
,WTNI,,White-tailed Nightjar,Hydropsalis cayennensis,HYDCAY,,TRUE
,SPTN,*,Spot-tailed Nightjar,Hydropsalis maculicaudus,HYDMAU,*,TRUE
,GRNI,,Gray Nightjar,Caprimulgus jotaka,CAPJOT,,TRUE
,OILB,,Oilbird,Steatornis caripensis,STECAR,,TRUE
,GRPO,,Great Potoo,Nyctibius grandis,NYCGRA,,TRUE
,CPOT,*,Common Potoo,Nyctibius griseus,NYCGRI,,TRUE
,NORP,*,Northern Potoo,Nyctibius jamaicensis,NYCJAM,,TRUE
,BLSW,,Black Swift,Cypseloides niger,CYPNIG,,TRUE
,WFSW,,White-fronted Swift,Cypseloides storeri,CYPSTO,,TRUE
,WCHS,*,White-chinned Swift,Cypseloides cryptus,CYPCRY,,TRUE
,SFSW,,Spot-fronted Swift,Cypseloides cherriei,CYPCHE,,TRUE
,CCSW,,Chestnut-collared Swift,Streptoprocne rutila,STRRUT,,TRUE
,WCSW,,White-collared Swift,Streptoprocne zonaris,STRZON,,TRUE
,WNSW,,White-naped Swift,Streptoprocne semicollaris,STRSEM,,TRUE
,CHSW,,Chimney Swift,Chaetura pelagica,CHAPEL,,TRUE
,VASW,,Vaux's Swift,Chaetura vauxi,CHAVAU,,TRUE
,CHAS,*,Chapman's Swift,Chaetura chapmani,CHACHA,,TRUE
,STSW,,Short-tailed Swift,Chaetura brachyura,CHABRA,,TRUE
,SISW,,Sick's Swift,Chaetura meridionalis,CHAMER,,TRUE
,BRSW,,Band-rumped Swift,Chaetura spinicaudus,CHASPI,,TRUE
,CRSW,,Costa Rican Swift,Chaetura fumosa,CHAFUM,,TRUE
,GRSW,,Gray-rumped Swift,Chaetura cinereiventris,CHACIN,,TRUE
,LASW,,Lesser Antillean Swift,Chaetura martinica,CHAMAR,,TRUE
,WTNE,,White-throated Needletail,Hirundapus caudacutus,HIRCAU,,TRUE
,MASW,,Mariana Swiftlet,Aerodramus bartschi,AERBAR,,TRUE
,COSW,,Common Swift,Apus apus,APUAPU,,TRUE
,FTSW,,Fork-tailed Swift,Apus pacificus,APUPAC,,TRUE
,ALSW,,Alpine Swift,Apus melba,APUMEL,,TRUE
,WTSW,,White-throated Swift,Aeronautes saxatalis,AERSAX,,TRUE
,LSTS,,Lesser Swallow-tailed Swift,Panyptila cayennensis,PANCAY,,TRUE
,GSTS,,Great Swallow-tailed Swift,Panyptila sanctihieronymi,PANSAN,,TRUE
,ANPS,,Antillean Palm-Swift,Tachornis phoenicobia,TACPHO,,TRUE
,WNJA,,White-necked Jacobin,Florisuga mellivora,FLOMEL,,TRUE
,WTSI,,White-tipped Sicklebill,Eutoxeres aquila,EUTAQU,,TRUE
,BRHE,,Bronzy Hermit,Glaucis aeneus,GLAAEN,,TRUE
,RBHE,,Rufous-breasted Hermit,Glaucis hirsutus,GLAHIR,,TRUE
,BTBA,,Band-tailed Barbthroat,Threnetes ruckeri,THRRUC,,TRUE
,GREH,*,Green Hermit,Phaethornis guy,PHAGUY,,TRUE
,MEHE,,Mexican Hermit,Phaethornis mexicanus,PHAMEX,,TRUE
,LBIH,*,Long-billed Hermit,Phaethornis longirostris,PHALON,,TRUE
,PBHE,,Pale-bellied Hermit,Phaethornis anthophilus,PHAANT,,TRUE
,STHR,*,Stripe-throated Hermit,Phaethornis striigularis,PHASTR,,TRUE
,GFRL,*,Green-fronted Lancebill,Doryfera ludovicae,DORLUD,,TRUE
,BRVI,,Brown Violetear,Colibri delphinae,COLDEL,,TRUE
,MEVI,,Mexican Violetear,Colibri thalassinus,COLTHA,,TRUE
,LEVI,,Lesser Violetear,Colibri cyanotus,COLCYA,,TRUE
,TBHU,,Tooth-billed Hummingbird,Androdon aequatorialis,ANDAEQ,,TRUE
,PCFA,,Purple-crowned Fairy,Heliothryx barroti,HELBAR,,TRUE
,RTOH,*,Ruby-topaz Hummingbird,Chrysolampis mosquitus,CHRMOS,,TRUE
,GNBM,*,Green-breasted Mango,Anthracothorax prevostii,ANTPRE,,TRUE
,BTMA,,Black-throated Mango,Anthracothorax nigricollis,ANTNIG,,TRUE
,VEMA,,Veraguan Mango,Anthracothorax veraguensis,ANTVER,,TRUE
,ANMA,,Antillean Mango,Anthracothorax dominicus,ANTDOM,,TRUE
,GMAG,*,Green Mango,Anthracothorax viridis,ANTVIR,,TRUE
,JAMA,,Jamaican Mango,Anthracothorax mango,ANTMAN,,TRUE
,PTCA,,Purple-throated Carib,Eulampis jugularis,EULJUG,,TRUE
,GTCA,,Green-throated Carib,Eulampis holosericeus,EULHOL,,TRUE
,GRET,*,Green Thorntail,Discosura conversii,DISCON,,TRUE
,SCCO,,Short-crested Coquette,Lophornis brachylophus,LOPBRA,,TRUE
,RCRC,*,Rufous-crested Coquette,Lophornis delattrei,LOPDEL,,TRUE
,BCCO,,Black-crested Coquette,Lophornis helenae,LOPHEL,,TRUE
,WCCO,,White-crested Coquette,Lophornis adorabilis,LOPADO,,TRUE
,GRPU,,Greenish Puffleg,Haplophaedia aureliae,HAPAUR,,TRUE
,GCBR,,Green-crowned Brilliant,Heliodoxa jacula,HELJAC,,TRUE
,RIHU,,Rivoli's Hummingbird,Eugenes fulgens,EUGFUL,,TRUE
,TAHU,,Talamanca Hummingbird,Eugenes spectabilis,EUGSPE,,TRUE
,FTHU,,Fiery-throated Hummingbird,Panterpe insignis,PANINS,,TRUE
,LBST,,Long-billed Starthroat,Heliomaster longirostris,HELLON,,TRUE
,PCST,,Plain-capped Starthroat,Heliomaster constantii,HELCON,,TRUE
,GTMG,,Green-throated Mountain-gem,Lampornis viridipallens,LAMVIR,,TRUE
